price,name,state,city,condition,distance,year_of_manufacture,color
14976000,Toyota Camry  Gray,Lagos State,Amuwo-Odofin,Foreign Used,307913,2012, Gray
29400000,Toyota Corolla XSE  Silver,Lagos State,Ikeja,Foreign Used,195024,2020, Silver
3150000,Nissan Pathfinder  Brown,Lagos State,Ogba,Local Used,98519,2005, Brown
5775000,Toyota Sienna  Silver,Lagos State,Kosofe,Local Used,238391,2004, Silver
4395562,Ford Edge  Black,Lagos State,Amuwo-Odofin,Local Used,301723,2007, Black
65520000,Toyota Highlander  Silver,Lagos State,Magodo,Foreign Used,92036,2020, Silver
5250000,Land Rover Lr SE 2005 Black,Rivers State,Port-Harcourt,Local Used,200333,3, Black
26250000,Mercedes-Benz G-Class  Black,Abuja (FCT),Central Business District,Local Used,999999,2002, Black
4672500,Toyota Avalon  Gold,Lagos State,Amuwo-Odofin,Local Used,184052,2006, Gold
12600000,Honda Odyssey  Black,Lagos State,Lekki,Local Used,51436,2013, Black
3675000,Infiniti QX 2002 Black,Abuja (FCT),Gwagwalada,Local Used,209090,4, Black
6300000,Toyota Corolla  Gray,Lagos State,Kosofe,Local Used,141071,2009, Gray
4882500,Toyota Camry  Red,Lagos State,Lekki,Local Used,83772,2007, Red
8400000,Nissan Altima  Blue,Rivers State,Port-Harcourt,Local Used,141377,2011, Blue
6090000,Nissan Frontier  Blue,Oyo State,Ibadan,Local Used,70617,2006, Blue
14976000,Toyota Camry  Gray,Lagos State,Amuwo-Odofin,Foreign Used,307913,2012, Gray
29400000,Toyota Corolla XSE  Silver,Lagos State,Ikeja,Foreign Used,195024,2020, Silver
3150000,Nissan Pathfinder  Brown,Lagos State,Ogba,Local Used,98519,2005, Brown
5775000,Toyota Sienna  Silver,Lagos State,Kosofe,Local Used,238391,2004, Silver
4395562,Ford Edge  Black,Lagos State,Amuwo-Odofin,Local Used,301723,2007, Black
65520000,Toyota Highlander  Silver,Lagos State,Magodo,Foreign Used,92036,2020, Silver
5250000,Land Rover Lr SE 2005 Black,Rivers State,Port-Harcourt,Local Used,200333,3, Black
26250000,Mercedes-Benz G-Class  Black,Abuja (FCT),Central Business District,Local Used,999999,2002, Black
4672500,Toyota Avalon  Gold,Lagos State,Amuwo-Odofin,Local Used,184052,2006, Gold
12600000,Honda Odyssey  Black,Lagos State,Lekki,Local Used,51436,2013, Black
3675000,Infiniti QX 2002 Black,Abuja (FCT),Gwagwalada,Local Used,209090,4, Black
6300000,Toyota Corolla  Gray,Lagos State,Kosofe,Local Used,141071,2009, Gray
4882500,Toyota Camry  Red,Lagos State,Lekki,Local Used,83772,2007, Red
8400000,Nissan Altima  Blue,Rivers State,Port-Harcourt,Local Used,141377,2011, Blue
6090000,Nissan Frontier  Blue,Oyo State,Ibadan,Local Used,70617,2006, Blue
14976000,Toyota Camry  Gray,Lagos State,Amuwo-Odofin,Foreign Used,307913,2012, Gray
29400000,Toyota Corolla XSE  Silver,Lagos State,Ikeja,Foreign Used,195024,2020, Silver
3150000,Nissan Pathfinder  Brown,Lagos State,Ogba,Local Used,98519,2005, Brown
5775000,Toyota Sienna  Silver,Lagos State,Kosofe,Local Used,238391,2004, Silver
4395562,Ford Edge  Black,Lagos State,Amuwo-Odofin,Local Used,301723,2007, Black
65520000,Toyota Highlander  Silver,Lagos State,Magodo,Foreign Used,92036,2020, Silver
5250000,Land Rover Lr SE 2005 Black,Rivers State,Port-Harcourt,Local Used,200333,3, Black
26250000,Mercedes-Benz G-Class  Black,Abuja (FCT),Central Business District,Local Used,999999,2002, Black
4672500,Toyota Avalon  Gold,Lagos State,Amuwo-Odofin,Local Used,184052,2006, Gold
12600000,Honda Odyssey  Black,Lagos State,Lekki,Local Used,51436,2013, Black
3675000,Infiniti QX 2002 Black,Abuja (FCT),Gwagwalada,Local Used,209090,4, Black
6300000,Toyota Corolla  Gray,Lagos State,Kosofe,Local Used,141071,2009, Gray
4882500,Toyota Camry  Red,Lagos State,Lekki,Local Used,83772,2007, Red
8400000,Nissan Altima  Blue,Rivers State,Port-Harcourt,Local Used,141377,2011, Blue
6090000,Nissan Frontier  Blue,Oyo State,Ibadan,Local Used,70617,2006, Blue
14976000,Toyota Camry  Gray,Lagos State,Amuwo-Odofin,Foreign Used,307913,2012, Gray
29400000,Toyota Corolla XSE  Silver,Lagos State,Ikeja,Foreign Used,195024,2020, Silver
3150000,Nissan Pathfinder  Brown,Lagos State,Ogba,Local Used,98519,2005, Brown
5775000,Toyota Sienna  Silver,Lagos State,Kosofe,Local Used,238391,2004, Silver
4395562,Ford Edge  Black,Lagos State,Amuwo-Odofin,Local Used,301723,2007, Black
65520000,Toyota Highlander  Silver,Lagos State,Magodo,Foreign Used,92036,2020, Silver
5250000,Land Rover Lr SE 2005 Black,Rivers State,Port-Harcourt,Local Used,200333,3, Black
26250000,Mercedes-Benz G-Class  Black,Abuja (FCT),Central Business District,Local Used,999999,2002, Black
4672500,Toyota Avalon  Gold,Lagos State,Amuwo-Odofin,Local Used,184052,2006, Gold
12600000,Honda Odyssey  Black,Lagos State,Lekki,Local Used,51436,2013, Black
3675000,Infiniti QX 2002 Black,Abuja (FCT),Gwagwalada,Local Used,209090,4, Black
6300000,Toyota Corolla  Gray,Lagos State,Kosofe,Local Used,141071,2009, Gray
4882500,Toyota Camry  Red,Lagos State,Lekki,Local Used,83772,2007, Red
8400000,Nissan Altima  Blue,Rivers State,Port-Harcourt,Local Used,141377,2011, Blue
6090000,Nissan Frontier  Blue,Oyo State,Ibadan,Local Used,70617,2006, Blue
14976000,Toyota Camry  Gray,Lagos State,Amuwo-Odofin,Foreign Used,307913,2012, Gray
29400000,Toyota Corolla XSE  Silver,Lagos State,Ikeja,Foreign Used,195024,2020, Silver
3150000,Nissan Pathfinder  Brown,Lagos State,Ogba,Local Used,98519,2005, Brown
5775000,Toyota Sienna  Silver,Lagos State,Kosofe,Local Used,238391,2004, Silver
4395562,Ford Edge  Black,Lagos State,Amuwo-Odofin,Local Used,301723,2007, Black
65520000,Toyota Highlander  Silver,Lagos State,Magodo,Foreign Used,92036,2020, Silver
5250000,Land Rover Lr SE 2005 Black,Rivers State,Port-Harcourt,Local Used,200333,3, Black
26250000,Mercedes-Benz G-Class  Black,Abuja (FCT),Central Business District,Local Used,999999,2002, Black
4672500,Toyota Avalon  Gold,Lagos State,Amuwo-Odofin,Local Used,184052,2006, Gold
12600000,Honda Odyssey  Black,Lagos State,Lekki,Local Used,51436,2013, Black
3675000,Infiniti QX 2002 Black,Abuja (FCT),Gwagwalada,Local Used,209090,4, Black
6300000,Toyota Corolla  Gray,Lagos State,Kosofe,Local Used,141071,2009, Gray
4882500,Toyota Camry  Red,Lagos State,Lekki,Local Used,83772,2007, Red
8400000,Nissan Altima  Blue,Rivers State,Port-Harcourt,Local Used,141377,2011, Blue
6090000,Nissan Frontier  Blue,Oyo State,Ibadan,Local Used,70617,2006, Blue
14976000,Toyota Camry  Gray,Lagos State,Amuwo-Odofin,Foreign Used,307913,2012, Gray
29400000,Toyota Corolla XSE  Silver,Lagos State,Ikeja,Foreign Used,195024,2020, Silver
3150000,Nissan Pathfinder  Brown,Lagos State,Ogba,Local Used,98519,2005, Brown
5775000,Toyota Sienna  Silver,Lagos State,Kosofe,Local Used,238391,2004, Silver
4395562,Ford Edge  Black,Lagos State,Amuwo-Odofin,Local Used,301723,2007, Black
65520000,Toyota Highlander  Silver,Lagos State,Magodo,Foreign Used,92036,2020, Silver
5250000,Land Rover Lr SE 2005 Black,Rivers State,Port-Harcourt,Local Used,200333,3, Black
26250000,Mercedes-Benz G-Class  Black,Abuja (FCT),Central Business District,Local Used,999999,2002, Black
4672500,Toyota Avalon  Gold,Lagos State,Amuwo-Odofin,Local Used,184052,2006, Gold
12600000,Honda Odyssey  Black,Lagos State,Lekki,Local Used,51436,2013, Black
3675000,Infiniti QX 2002 Black,Abuja (FCT),Gwagwalada,Local Used,209090,4, Black
6300000,Toyota Corolla  Gray,Lagos State,Kosofe,Local Used,141071,2009, Gray
4882500,Toyota Camry  Red,Lagos State,Lekki,Local Used,83772,2007, Red
8400000,Nissan Altima  Blue,Rivers State,Port-Harcourt,Local Used,141377,2011, Blue
6090000,Nissan Frontier  Blue,Oyo State,Ibadan,Local Used,70617,2006, Blue
14976000,Toyota Camry  Gray,Lagos State,Amuwo-Odofin,Foreign Used,307913,2012, Gray
29400000,Toyota Corolla XSE  Silver,Lagos State,Ikeja,Foreign Used,195024,2020, Silver
3150000,Nissan Pathfinder  Brown,Lagos State,Ogba,Local Used,98519,2005, Brown
5775000,Toyota Sienna  Silver,Lagos State,Kosofe,Local Used,238391,2004, Silver
4395562,Ford Edge  Black,Lagos State,Amuwo-Odofin,Local Used,301723,2007, Black
65520000,Toyota Highlander  Silver,Lagos State,Magodo,Foreign Used,92036,2020, Silver
5250000,Land Rover Lr SE 2005 Black,Rivers State,Port-Harcourt,Local Used,200333,3, Black
26250000,Mercedes-Benz G-Class  Black,Abuja (FCT),Central Business District,Local Used,999999,2002, Black
4672500,Toyota Avalon  Gold,Lagos State,Amuwo-Odofin,Local Used,184052,2006, Gold
12600000,Honda Odyssey  Black,Lagos State,Lekki,Local Used,51436,2013, Black
3675000,Infiniti QX 2002 Black,Abuja (FCT),Gwagwalada,Local Used,209090,4, Black
6300000,Toyota Corolla  Gray,Lagos State,Kosofe,Local Used,141071,2009, Gray
4882500,Toyota Camry  Red,Lagos State,Lekki,Local Used,83772,2007, Red
8400000,Nissan Altima  Blue,Rivers State,Port-Harcourt,Local Used,141377,2011, Blue
6090000,Nissan Frontier  Blue,Oyo State,Ibadan,Local Used,70617,2006, Blue
14976000,Toyota Camry  Gray,Lagos State,Amuwo-Odofin,Foreign Used,307913,2012, Gray
29400000,Toyota Corolla XSE  Silver,Lagos State,Ikeja,Foreign Used,195024,2020, Silver
3150000,Nissan Pathfinder  Brown,Lagos State,Ogba,Local Used,98519,2005, Brown
5775000,Toyota Sienna  Silver,Lagos State,Kosofe,Local Used,238391,2004, Silver
4395562,Ford Edge  Black,Lagos State,Amuwo-Odofin,Local Used,301723,2007, Black
65520000,Toyota Highlander  Silver,Lagos State,Magodo,Foreign Used,92036,2020, Silver
5250000,Land Rover Lr SE 2005 Black,Rivers State,Port-Harcourt,Local Used,200333,3, Black
26250000,Mercedes-Benz G-Class  Black,Abuja (FCT),Central Business District,Local Used,999999,2002, Black
4672500,Toyota Avalon  Gold,Lagos State,Amuwo-Odofin,Local Used,184052,2006, Gold
12600000,Honda Odyssey  Black,Lagos State,Lekki,Local Used,51436,2013, Black
3675000,Infiniti QX 2002 Black,Abuja (FCT),Gwagwalada,Local Used,209090,4, Black
6300000,Toyota Corolla  Gray,Lagos State,Kosofe,Local Used,141071,2009, Gray
4882500,Toyota Camry  Red,Lagos State,Lekki,Local Used,83772,2007, Red
8400000,Nissan Altima  Blue,Rivers State,Port-Harcourt,Local Used,141377,2011, Blue
6090000,Nissan Frontier  Blue,Oyo State,Ibadan,Local Used,70617,2006, Blue
14976000,Toyota Camry  Gray,Lagos State,Amuwo-Odofin,Foreign Used,307913,2012, Gray
29400000,Toyota Corolla XSE  Silver,Lagos State,Ikeja,Foreign Used,195024,2020, Silver
3150000,Nissan Pathfinder  Brown,Lagos State,Ogba,Local Used,98519,2005, Brown
5775000,Toyota Sienna  Silver,Lagos State,Kosofe,Local Used,238391,2004, Silver
4395562,Ford Edge  Black,Lagos State,Amuwo-Odofin,Local Used,301723,2007, Black
65520000,Toyota Highlander  Silver,Lagos State,Magodo,Foreign Used,92036,2020, Silver
5250000,Land Rover Lr SE 2005 Black,Rivers State,Port-Harcourt,Local Used,200333,3, Black
26250000,Mercedes-Benz G-Class  Black,Abuja (FCT),Central Business District,Local Used,999999,2002, Black
4672500,Toyota Avalon  Gold,Lagos State,Amuwo-Odofin,Local Used,184052,2006, Gold
12600000,Honda Odyssey  Black,Lagos State,Lekki,Local Used,51436,2013, Black
3675000,Infiniti QX 2002 Black,Abuja (FCT),Gwagwalada,Local Used,209090,4, Black
6300000,Toyota Corolla  Gray,Lagos State,Kosofe,Local Used,141071,2009, Gray
4882500,Toyota Camry  Red,Lagos State,Lekki,Local Used,83772,2007, Red
8400000,Nissan Altima  Blue,Rivers State,Port-Harcourt,Local Used,141377,2011, Blue
6090000,Nissan Frontier  Blue,Oyo State,Ibadan,Local Used,70617,2006, Blue
14976000,Toyota Camry  Gray,Lagos State,Amuwo-Odofin,Foreign Used,307913,2012, Gray
29400000,Toyota Corolla XSE  Silver,Lagos State,Ikeja,Foreign Used,195024,2020, Silver
3150000,Nissan Pathfinder  Brown,Lagos State,Ogba,Local Used,98519,2005, Brown
5775000,Toyota Sienna  Silver,Lagos State,Kosofe,Local Used,238391,2004, Silver
4395562,Ford Edge  Black,Lagos State,Amuwo-Odofin,Local Used,301723,2007, Black
65520000,Toyota Highlander  Silver,Lagos State,Magodo,Foreign Used,92036,2020, Silver
5250000,Land Rover Lr SE 2005 Black,Rivers State,Port-Harcourt,Local Used,200333,3, Black
26250000,Mercedes-Benz G-Class  Black,Abuja (FCT),Central Business District,Local Used,999999,2002, Black
4672500,Toyota Avalon  Gold,Lagos State,Amuwo-Odofin,Local Used,184052,2006, Gold
12600000,Honda Odyssey  Black,Lagos State,Lekki,Local Used,51436,2013, Black
3675000,Infiniti QX 2002 Black,Abuja (FCT),Gwagwalada,Local Used,209090,4, Black
6300000,Toyota Corolla  Gray,Lagos State,Kosofe,Local Used,141071,2009, Gray
4882500,Toyota Camry  Red,Lagos State,Lekki,Local Used,83772,2007, Red
8400000,Nissan Altima  Blue,Rivers State,Port-Harcourt,Local Used,141377,2011, Blue
6090000,Nissan Frontier  Blue,Oyo State,Ibadan,Local Used,70617,2006, Blue
14976000,Toyota Camry  Gray,Lagos State,Amuwo-Odofin,Foreign Used,307913,2012, Gray
29400000,Toyota Corolla XSE  Silver,Lagos State,Ikeja,Foreign Used,195024,2020, Silver
3150000,Nissan Pathfinder  Brown,Lagos State,Ogba,Local Used,98519,2005, Brown
5775000,Toyota Sienna  Silver,Lagos State,Kosofe,Local Used,238391,2004, Silver
4395562,Ford Edge  Black,Lagos State,Amuwo-Odofin,Local Used,301723,2007, Black
65520000,Toyota Highlander  Silver,Lagos State,Magodo,Foreign Used,92036,2020, Silver
5250000,Land Rover Lr SE 2005 Black,Rivers State,Port-Harcourt,Local Used,200333,3, Black
26250000,Mercedes-Benz G-Class  Black,Abuja (FCT),Central Business District,Local Used,999999,2002, Black
4672500,Toyota Avalon  Gold,Lagos State,Amuwo-Odofin,Local Used,184052,2006, Gold
12600000,Honda Odyssey  Black,Lagos State,Lekki,Local Used,51436,2013, Black
3675000,Infiniti QX 2002 Black,Abuja (FCT),Gwagwalada,Local Used,209090,4, Black
6300000,Toyota Corolla  Gray,Lagos State,Kosofe,Local Used,141071,2009, Gray
4882500,Toyota Camry  Red,Lagos State,Lekki,Local Used,83772,2007, Red
8400000,Nissan Altima  Blue,Rivers State,Port-Harcourt,Local Used,141377,2011, Blue
6090000,Nissan Frontier  Blue,Oyo State,Ibadan,Local Used,70617,2006, Blue
14976000,Toyota Camry  Gray,Lagos State,Amuwo-Odofin,Foreign Used,307913,2012, Gray
29400000,Toyota Corolla XSE  Silver,Lagos State,Ikeja,Foreign Used,195024,2020, Silver
3150000,Nissan Pathfinder  Brown,Lagos State,Ogba,Local Used,98519,2005, Brown
5775000,Toyota Sienna  Silver,Lagos State,Kosofe,Local Used,238391,2004, Silver
4395562,Ford Edge  Black,Lagos State,Amuwo-Odofin,Local Used,301723,2007, Black
65520000,Toyota Highlander  Silver,Lagos State,Magodo,Foreign Used,92036,2020, Silver
5250000,Land Rover Lr SE 2005 Black,Rivers State,Port-Harcourt,Local Used,200333,3, Black
26250000,Mercedes-Benz G-Class  Black,Abuja (FCT),Central Business District,Local Used,999999,2002, Black
4672500,Toyota Avalon  Gold,Lagos State,Amuwo-Odofin,Local Used,184052,2006, Gold
12600000,Honda Odyssey  Black,Lagos State,Lekki,Local Used,51436,2013, Black
3675000,Infiniti QX 2002 Black,Abuja (FCT),Gwagwalada,Local Used,209090,4, Black
6300000,Toyota Corolla  Gray,Lagos State,Kosofe,Local Used,141071,2009, Gray
4882500,Toyota Camry  Red,Lagos State,Lekki,Local Used,83772,2007, Red
8400000,Nissan Altima  Blue,Rivers State,Port-Harcourt,Local Used,141377,2011, Blue
6090000,Nissan Frontier  Blue,Oyo State,Ibadan,Local Used,70617,2006, Blue
14976000,Toyota Camry  Gray,Lagos State,Amuwo-Odofin,Foreign Used,307913,2012, Gray
29400000,Toyota Corolla XSE  Silver,Lagos State,Ikeja,Foreign Used,195024,2020, Silver
3150000,Nissan Pathfinder  Brown,Lagos State,Ogba,Local Used,98519,2005, Brown
5775000,Toyota Sienna  Silver,Lagos State,Kosofe,Local Used,238391,2004, Silver
4395562,Ford Edge  Black,Lagos State,Amuwo-Odofin,Local Used,301723,2007, Black
65520000,Toyota Highlander  Silver,Lagos State,Magodo,Foreign Used,92036,2020, Silver
5250000,Land Rover Lr SE 2005 Black,Rivers State,Port-Harcourt,Local Used,200333,3, Black
26250000,Mercedes-Benz G-Class  Black,Abuja (FCT),Central Business District,Local Used,999999,2002, Black
4672500,Toyota Avalon  Gold,Lagos State,Amuwo-Odofin,Local Used,184052,2006, Gold
12600000,Honda Odyssey  Black,Lagos State,Lekki,Local Used,51436,2013, Black
3675000,Infiniti QX 2002 Black,Abuja (FCT),Gwagwalada,Local Used,209090,4, Black
6300000,Toyota Corolla  Gray,Lagos State,Kosofe,Local Used,141071,2009, Gray
4882500,Toyota Camry  Red,Lagos State,Lekki,Local Used,83772,2007, Red
8400000,Nissan Altima  Blue,Rivers State,Port-Harcourt,Local Used,141377,2011, Blue
6090000,Nissan Frontier  Blue,Oyo State,Ibadan,Local Used,70617,2006, Blue
14976000,Toyota Camry  Gray,Lagos State,Amuwo-Odofin,Foreign Used,307913,2012, Gray
29400000,Toyota Corolla XSE  Silver,Lagos State,Ikeja,Foreign Used,195024,2020, Silver
3150000,Nissan Pathfinder  Brown,Lagos State,Ogba,Local Used,98519,2005, Brown
5775000,Toyota Sienna  Silver,Lagos State,Kosofe,Local Used,238391,2004, Silver
4395562,Ford Edge  Black,Lagos State,Amuwo-Odofin,Local Used,301723,2007, Black
65520000,Toyota Highlander  Silver,Lagos State,Magodo,Foreign Used,92036,2020, Silver
5250000,Land Rover Lr SE 2005 Black,Rivers State,Port-Harcourt,Local Used,200333,3, Black
26250000,Mercedes-Benz G-Class  Black,Abuja (FCT),Central Business District,Local Used,999999,2002, Black
4672500,Toyota Avalon  Gold,Lagos State,Amuwo-Odofin,Local Used,184052,2006, Gold
12600000,Honda Odyssey  Black,Lagos State,Lekki,Local Used,51436,2013, Black
3675000,Infiniti QX 2002 Black,Abuja (FCT),Gwagwalada,Local Used,209090,4, Black
6300000,Toyota Corolla  Gray,Lagos State,Kosofe,Local Used,141071,2009, Gray
4882500,Toyota Camry  Red,Lagos State,Lekki,Local Used,83772,2007, Red
8400000,Nissan Altima  Blue,Rivers State,Port-Harcourt,Local Used,141377,2011, Blue
6090000,Nissan Frontier  Blue,Oyo State,Ibadan,Local Used,70617,2006, Blue
14976000,Toyota Camry  Gray,Lagos State,Amuwo-Odofin,Foreign Used,307913,2012, Gray
29400000,Toyota Corolla XSE  Silver,Lagos State,Ikeja,Foreign Used,195024,2020, Silver
3150000,Nissan Pathfinder  Brown,Lagos State,Ogba,Local Used,98519,2005, Brown
