price,name,registered_state,registered_city,condition,year_of_manufacture,color,mileage
3150000,Toyota Corolla .4 VVT-i 2007 Black,Akwa Ibom State,Uyo,Local Used,1, Black,224302
8400000,Toyota Corolla  Red,Ogun State,Abeokuta North,Local Used,2015, Red,223287
2625000,Honda Accord  Silver,Rivers State,Port-Harcourt,Local Used,2006, Silver,106916
2100000,Honda Odyssey  Brown,Delta State,Oshimili South,Local Used,1999, Brown,301102
2835000,Honda Pilot  Black,Abuja (FCT),Gwarinpa,Local Used,2008, Black,125162
11250000,Nissan Quest  Green,Lagos State,Surulere,Local Used,2015, Green,355321
3375000,Volkswagen Golf  Black,Lagos State,Ikotun/Igando,Local Used,1999, Black,305884
3150000,Lexus GS  2003 Red,Lagos State,Ikorodu,Local Used,300, Red,234841
3297000,Honda CR-V  Gold,Rivers State,Port-Harcourt,Local Used,2006, Gold,147964
3990000,Kia Sportage  Brown,Lagos State,Yaba,Local Used,2005, Brown,172369
3360000,Toyota Matrix  Blue,Abuja (FCT),Gudu,Local Used,2005, Blue,254325
2100000,Mazda  2000 Gold,Oyo State,Ibadan,Local Used,626, Gold,390042
3675000,Mercedes-Benz C 2001 Silver,Abuja (FCT),Lugbe District,Local Used,200, Silver,257475
2940000,Seat Ibiza  Green,Ogun State,Abeokuta North,Local Used,1999, Green,12071
2415000,Honda Stream  White,Abuja (FCT),Gwarinpa,Local Used,2001, White,261864
3150000,Toyota Corolla .4 VVT-i 2007 Black,Akwa Ibom State,Uyo,Local Used,1, Black,224302
8400000,Toyota Corolla  Red,Ogun State,Abeokuta North,Local Used,2015, Red,223287
2625000,Honda Accord  Silver,Rivers State,Port-Harcourt,Local Used,2006, Silver,106916
2100000,Honda Odyssey  Brown,Delta State,Oshimili South,Local Used,1999, Brown,301102
2835000,Honda Pilot  Black,Abuja (FCT),Gwarinpa,Local Used,2008, Black,125162
11250000,Nissan Quest  Green,Lagos State,Surulere,Local Used,2015, Green,355321
3375000,Volkswagen Golf  Black,Lagos State,Ikotun/Igando,Local Used,1999, Black,305884
3150000,Lexus GS  2003 Red,Lagos State,Ikorodu,Local Used,300, Red,234841
3297000,Honda CR-V  Gold,Rivers State,Port-Harcourt,Local Used,2006, Gold,147964
3990000,Kia Sportage  Brown,Lagos State,Yaba,Local Used,2005, Brown,172369
3360000,Toyota Matrix  Blue,Abuja (FCT),Gudu,Local Used,2005, Blue,254325
2100000,Mazda  2000 Gold,Oyo State,Ibadan,Local Used,626, Gold,390042
3675000,Mercedes-Benz C 2001 Silver,Abuja (FCT),Lugbe District,Local Used,200, Silver,257475
2940000,Seat Ibiza  Green,Ogun State,Abeokuta North,Local Used,1999, Green,12071
2415000,Honda Stream  White,Abuja (FCT),Gwarinpa,Local Used,2001, White,261864
3150000,Toyota Corolla .4 VVT-i 2007 Black,Akwa Ibom State,Uyo,Local Used,1, Black,224302
8400000,Toyota Corolla  Red,Ogun State,Abeokuta North,Local Used,2015, Red,223287
2100000,Chevrolet Optra  Red,Rivers State,Port-Harcourt,Local Used,2009, Red,NA
2288000,Honda Accord P 2001 Silver,Rivers State,Port-Harcourt,Local Used,5, Silver,NA
2940000,Toyota Yaris  Black,Edo State,Benin City,Local Used,2008, Black,NA
3150000,Hyundai Elantra  Blue,Lagos State,Yaba,Local Used,2008, Blue,217371
10462500,Toyota Sienna  Blue,Lagos State,Ikeja,Foreign Used,2007, Blue,238088
4410000,Toyota Camry  Red,Lagos State,Lekki,Local Used,2007, Red,103820
13500000,Toyota Venza  Gold,Abuja (FCT),Wuse,Local Used,2009, Gold,168771
2205000,Toyota Camry  Gold,Abuja (FCT),Garki 2,Local Used,1999, Gold,241323
12375000,Toyota Highlander  Black,Ogun State,Abeokuta North,Local Used,2008, Black,113556
3685498,Audi Q 2008 Black,Rivers State,Port-Harcourt,Local Used,7, Black,163569
3927000,Toyota Corolla  Black,Lagos State,Amuwo-Odofin,Local Used,2003, Black,221748
4200000,Hyundai Elantra  Gray,Lagos State,Ikoyi,Local Used,2010, Gray,247238
2100000,Volkswagen Passat GLS Sedan  Silver,Lagos State,Ilupeju,Local Used,1998, Silver,273313
4467750,Honda Accord  Gray,Lagos State,Ikeja,Local Used,2009, Gray,334670
2058000,Toyota Camry  Gold,Abuja (FCT),Garki 2,Local Used,1999, Gold,197214
2268000,Honda CR-V .0i ES Automatic 2002 Black,Lagos State,Ikorodu,Local Used,2, Black,234153
13520000,Toyota Venza  Silver,Lagos State,Ogudu,Local Used,2010, Silver,133681
6187500,Toyota Corolla  Blue,Lagos State,Ajah,Local Used,2006, Blue,313225
2641800,Peugeot  2006 Black,Kaduna State,Kaduna / Kaduna State,Local Used,206, Black,99999
17690625,Toyota Venza V 2010 Silver,Lagos State,Lekki,Foreign Used,6, Silver,217038
3360000,Hyundai Elantra  Black,Ogun State,Abeokuta North,Local Used,2008, Black,243151
3937500,Toyota Camry  Black,Rivers State,Port-Harcourt,Local Used,2006, Black,215678
4162500,Honda Pilot  Black,Oyo State,Ibadan,Local Used,2007, Black,173279
2700000,Honda Accord .4 Type S Automatic 2005 Black,Akwa Ibom State,Uyo,Local Used,2, Black,181708
2625000,Honda Civic  Silver,Oyo State,Ibadan,Local Used,2001, Silver,108771
3150000,Honda Pilot  Black,Edo State,Benin City,Local Used,2005, Black,126585
4160000,Honda Civic  Gray,Lagos State,Ikotun/Igando,Local Used,2008, Gray,192582
33750000,Toyota Highlander  Black,Oyo State,Ibadan,Foreign Used,2015, Black,254996
4725000,Toyota Camry  Blue,Lagos State,Ajah,Local Used,2004, Blue,559878
3045000,Volvo XC 2003 Blue,Ondo State,Akure,Local Used,90, Blue,403764
2268000,Honda CR-V .0i ES Automatic 2002 Black,Lagos State,Ikorodu,Local Used,2, Black,234153
13520000,Toyota Venza  Silver,Lagos State,Ogudu,Local Used,2010, Silver,133681
6187500,Toyota Corolla  Blue,Lagos State,Ajah,Local Used,2006, Blue,313225
2641800,Peugeot  2006 Black,Kaduna State,Kaduna / Kaduna State,Local Used,206, Black,99999
17690625,Toyota Venza V 2010 Silver,Lagos State,Lekki,Foreign Used,6, Silver,217038
3360000,Hyundai Elantra  Black,Ogun State,Abeokuta North,Local Used,2008, Black,243151
3937500,Toyota Camry  Black,Rivers State,Port-Harcourt,Local Used,2006, Black,215678
4162500,Honda Pilot  Black,Oyo State,Ibadan,Local Used,2007, Black,173279
2700000,Honda Accord .4 Type S Automatic 2005 Black,Akwa Ibom State,Uyo,Local Used,2, Black,181708
2625000,Honda Civic  Silver,Oyo State,Ibadan,Local Used,2001, Silver,108771
3150000,Honda Pilot  Black,Edo State,Benin City,Local Used,2005, Black,126585
4160000,Honda Civic  Gray,Lagos State,Ikotun/Igando,Local Used,2008, Gray,192582
33750000,Toyota Highlander  Black,Oyo State,Ibadan,Foreign Used,2015, Black,254996
4725000,Toyota Camry  Blue,Lagos State,Ajah,Local Used,2004, Blue,559878
3045000,Volvo XC 2003 Blue,Ondo State,Akure,Local Used,90, Blue,403764
2268000,Honda CR-V .0i ES Automatic 2002 Black,Lagos State,Ikorodu,Local Used,2, Black,234153
13520000,Toyota Venza  Silver,Lagos State,Ogudu,Local Used,2010, Silver,133681
6187500,Toyota Corolla  Blue,Lagos State,Ajah,Local Used,2006, Blue,313225
2641800,Peugeot  2006 Black,Kaduna State,Kaduna / Kaduna State,Local Used,206, Black,99999
17690625,Toyota Venza V 2010 Silver,Lagos State,Lekki,Foreign Used,6, Silver,217038
3360000,Hyundai Elantra  Black,Ogun State,Abeokuta North,Local Used,2008, Black,243151
3937500,Toyota Camry  Black,Rivers State,Port-Harcourt,Local Used,2006, Black,215678
4162500,Honda Pilot  Black,Oyo State,Ibadan,Local Used,2007, Black,173279
2700000,Honda Accord .4 Type S Automatic 2005 Black,Akwa Ibom State,Uyo,Local Used,2, Black,181708
2625000,Honda Civic  Silver,Oyo State,Ibadan,Local Used,2001, Silver,108771
3150000,Honda Pilot  Black,Edo State,Benin City,Local Used,2005, Black,126585
4160000,Honda Civic  Gray,Lagos State,Ikotun/Igando,Local Used,2008, Gray,192582
33750000,Toyota Highlander  Black,Oyo State,Ibadan,Foreign Used,2015, Black,254996
4725000,Toyota Camry  Blue,Lagos State,Ajah,Local Used,2004, Blue,559878
3045000,Volvo XC 2003 Blue,Ondo State,Akure,Local Used,90, Blue,403764
NA,,,NA,,NA,NA,NA
NA,,,NA,,NA,NA,NA
NA,,,NA,,NA,NA,NA
NA,,,NA,,NA,NA,NA
NA,,,NA,,NA,NA,NA
NA,,,NA,,NA,NA,NA
NA,,,NA,,NA,NA,NA
NA,,,NA,,NA,NA,NA
NA,,,NA,,NA,NA,NA
NA,,,NA,,NA,NA,NA
NA,,,NA,,NA,NA,NA
NA,,,NA,,NA,NA,NA
NA,,,NA,,NA,NA,NA
NA,,,NA,,NA,NA,NA
NA,,,NA,,NA,NA,NA
7312500,Mercedes-Benz R-Class  Blue,Lagos State,Amuwo-Odofin,Local Used,2008, Blue,272839
5062500,Toyota Corolla  Red,Oyo State,Ibadan,Local Used,2005, Red,462572
16875000,Toyota Camry  Black,Lagos State,Isolo,Foreign Used,2014, Black,147158
6187500,Mazda CX- 2008 Black,Lagos State,Ikorodu,Local Used,9, Black,163443
3600000,Honda CR-V Automatic  Black,Akwa Ibom State,Uyo,Local Used,2005, Black,213738
2310000,Honda Accord  Silver,Abuja (FCT),Gwarinpa,Local Used,2004, Silver,197446
7875000,Toyota Camry  Black,Abuja (FCT),Garki 2,Local Used,2008, Black,134543
3780000,Toyota Camry  Gray,Lagos State,Alimosho,Local Used,2005, Gray,265415
6187500,Lexus ES  2005 Silver,Oyo State,Ibadan,Local Used,330, Silver,295518
2520000,Honda Civic  Green,Lagos State,Ikorodu,Local Used,2007, Green,105030
5625000,Acura MDX  Green,Enugu State,Enugu,Local Used,2008, Green,350015
2415000,Toyota Camry  Gray,Lagos State,Ikorodu,Local Used,2000, Gray,290007
16875000,Toyota Corolla  Red,Lagos State,Isolo,Foreign Used,2014, Red,137410
4500000,Opel Signum  Red,Lagos State,Alimosho,Local Used,2005, Red,136822
3360000,Honda Civic  Blue,Abuja (FCT),Kubwa,Local Used,2007, Blue,98803
7312500,Mercedes-Benz R-Class  Blue,Lagos State,Amuwo-Odofin,Local Used,2008, Blue,272839
5062500,Toyota Corolla  Red,Oyo State,Ibadan,Local Used,2005, Red,462572
16875000,Toyota Camry  Black,Lagos State,Isolo,Foreign Used,2014, Black,147158
6187500,Mazda CX- 2008 Black,Lagos State,Ikorodu,Local Used,9, Black,163443
3600000,Honda CR-V Automatic  Black,Akwa Ibom State,Uyo,Local Used,2005, Black,213738
2310000,Honda Accord  Silver,Abuja (FCT),Gwarinpa,Local Used,2004, Silver,197446
7875000,Toyota Camry  Black,Abuja (FCT),Garki 2,Local Used,2008, Black,134543
3780000,Toyota Camry  Gray,Lagos State,Alimosho,Local Used,2005, Gray,265415
6187500,Lexus ES  2005 Silver,Oyo State,Ibadan,Local Used,330, Silver,295518
2520000,Honda Civic  Green,Lagos State,Ikorodu,Local Used,2007, Green,105030
5625000,Acura MDX  Green,Enugu State,Enugu,Local Used,2008, Green,350015
2415000,Toyota Camry  Gray,Lagos State,Ikorodu,Local Used,2000, Gray,290007
16875000,Toyota Corolla  Red,Lagos State,Isolo,Foreign Used,2014, Red,137410
4500000,Opel Signum  Red,Lagos State,Alimosho,Local Used,2005, Red,136822
3360000,Honda Civic  Blue,Abuja (FCT),Kubwa,Local Used,2007, Blue,98803
7312500,Mercedes-Benz R-Class  Blue,Lagos State,Amuwo-Odofin,Local Used,2008, Blue,272839
5062500,Toyota Corolla  Red,Oyo State,Ibadan,Local Used,2005, Red,462572
16875000,Toyota Camry  Black,Lagos State,Isolo,Foreign Used,2014, Black,147158
6187500,Mazda CX- 2008 Black,Lagos State,Ikorodu,Local Used,9, Black,163443
3600000,Honda CR-V Automatic  Black,Akwa Ibom State,Uyo,Local Used,2005, Black,213738
2310000,Honda Accord  Silver,Abuja (FCT),Gwarinpa,Local Used,2004, Silver,197446
7875000,Toyota Camry  Black,Abuja (FCT),Garki 2,Local Used,2008, Black,134543
3780000,Toyota Camry  Gray,Lagos State,Alimosho,Local Used,2005, Gray,265415
6187500,Lexus ES  2005 Silver,Oyo State,Ibadan,Local Used,330, Silver,295518
2520000,Honda Civic  Green,Lagos State,Ikorodu,Local Used,2007, Green,105030
5625000,Acura MDX  Green,Enugu State,Enugu,Local Used,2008, Green,350015
2415000,Toyota Camry  Gray,Lagos State,Ikorodu,Local Used,2000, Gray,290007
16875000,Toyota Corolla  Red,Lagos State,Isolo,Foreign Used,2014, Red,137410
4500000,Opel Signum  Red,Lagos State,Alimosho,Local Used,2005, Red,136822
3360000,Honda Civic  Blue,Abuja (FCT),Kubwa,Local Used,2007, Blue,98803
25200000,Toyota Camry  Red,Abuja (FCT),Garki 2,Foreign Used,2019, Red,88887
5625000,Toyota Camry  Silver,Abuja (FCT),Lugbe District,Local Used,2005, Silver,292253
3375000,Nissan Almera  Blue,Oyo State,Ibadan,Local Used,2004, Blue,267118
4837500,Toyota Corolla  Burgandy,Lagos State,Ogba,Local Used,2003, Burgandy,119517
15187500,Nissan Qashqai  Brown,Rivers State,Port-Harcourt,Local Used,2015, Brown,63432
4612500,Toyota Corolla  Gray,Lagos State,Ogudu,Local Used,2005, Gray,197708
6300000,Ford Edge  Black,Abuja (FCT),Jabi,Local Used,2011, Black,128359
13500000,Hyundai Sonata  Blue,Lagos State,Kosofe,Foreign Used,2011, Blue,169131
3150000,Toyota Yaris  Black,Lagos State,Abule Egba,Local Used,2008, Black,133512
22500000,Kia Sportage  White,Lagos State,Lekki,Local Used,2017, White,43660
2812500,Kia Forte  Silver,Abuja (FCT),Gudu,Local Used,2010, Silver,265180
1785000,Honda Accord  Silver,Lagos State,Magodo,Local Used,1999, Silver,238689
4950000,Toyota -Runner 2003 Blue,Lagos State,Ikorodu,Local Used,4, Blue,152341
1575000,Nissan Primera  Silver,Oyo State,Ibadan,Local Used,1998, Silver,577304
3150000,Toyota Sienna LE  Silver,Kaduna State,Kaduna / Kaduna State,Local Used,2002, Silver,281861
3661875,Lexus RX  2001 Gray,Abuja (FCT),Kubwa,Local Used,300, Gray,211688
2362500,Toyota Corolla  Black,Lagos State,Alimosho,Local Used,2009, Black,213974
6187500,Toyota Yaris .5 Liftback 2008 Gray,Abuja (FCT),Lugbe District,Local Used,1, Gray,296703
22500000,Mercedes-Benz M Class  Gray,Lagos State,Yaba,Local Used,2012, Gray,247749
11700000,Toyota Corolla  Red,Abuja (FCT),Gudu,Local Used,2016, Red,103213
4500000,Toyota Avensis  Red,Lagos State,Lekki,Local Used,2004, Red,338724
14625000,Land Rover Range Rover Evoque  White,Rivers State,Port-Harcourt,Local Used,2014, White,108234
10687500,Land Rover Range Rover Sport  Green,Abuja (FCT),Central Business District,Foreign Used,2012, Green,156242
64125000,Lexus RX  2021 Black,Lagos State,Lekki,Foreign Used,350, Black,39248
2887500,Toyota Corolla  Silver,Lagos State,Amuwo-Odofin,Local Used,2005, Silver,280866
18000000,Land Rover Range Rover  Burgandy,Lagos State,Magodo,Local Used,2011, Burgandy,26293
1680000,Renault Kangoo  Blue,Lagos State,Ikotun/Igando,Local Used,2001, Blue,100000
4320000,Ford Escape  Gray,Lagos State,Ojodu,Local Used,2009, Gray,328891
7312500,Toyota Camry  Silver,Oyo State,Ibadan,Local Used,2009, Silver,169987
33750000,Land Rover Range Rover Evoque  White,Lagos State,Kosofe,Local Used,2018, White,126854
3661875,Lexus RX  2001 Gray,Abuja (FCT),Kubwa,Local Used,300, Gray,211688
2362500,Toyota Corolla  Black,Lagos State,Alimosho,Local Used,2009, Black,213974
6187500,Toyota Yaris .5 Liftback 2008 Gray,Abuja (FCT),Lugbe District,Local Used,1, Gray,296703
22500000,Mercedes-Benz M Class  Gray,Lagos State,Yaba,Local Used,2012, Gray,247749
11700000,Toyota Corolla  Red,Abuja (FCT),Gudu,Local Used,2016, Red,103213
4500000,Toyota Avensis  Red,Lagos State,Lekki,Local Used,2004, Red,338724
14625000,Land Rover Range Rover Evoque  White,Rivers State,Port-Harcourt,Local Used,2014, White,108234
10687500,Land Rover Range Rover Sport  Green,Abuja (FCT),Central Business District,Foreign Used,2012, Green,156242
64125000,Lexus RX  2021 Black,Lagos State,Lekki,Foreign Used,350, Black,39248
2887500,Toyota Corolla  Silver,Lagos State,Amuwo-Odofin,Local Used,2005, Silver,280866
18000000,Land Rover Range Rover  Burgandy,Lagos State,Magodo,Local Used,2011, Burgandy,26293
1680000,Renault Kangoo  Blue,Lagos State,Ikotun/Igando,Local Used,2001, Blue,100000
4320000,Ford Escape  Gray,Lagos State,Ojodu,Local Used,2009, Gray,328891
7312500,Toyota Camry  Silver,Oyo State,Ibadan,Local Used,2009, Silver,169987
33750000,Land Rover Range Rover Evoque  White,Lagos State,Kosofe,Local Used,2018, White,126854
3661875,Lexus RX  2001 Gray,Abuja (FCT),Kubwa,Local Used,300, Gray,211688
2362500,Toyota Corolla  Black,Lagos State,Alimosho,Local Used,2009, Black,213974
6187500,Toyota Yaris .5 Liftback 2008 Gray,Abuja (FCT),Lugbe District,Local Used,1, Gray,296703
22500000,Mercedes-Benz M Class  Gray,Lagos State,Yaba,Local Used,2012, Gray,247749
11700000,Toyota Corolla  Red,Abuja (FCT),Gudu,Local Used,2016, Red,103213
4500000,Toyota Avensis  Red,Lagos State,Lekki,Local Used,2004, Red,338724
14625000,Land Rover Range Rover Evoque  White,Rivers State,Port-Harcourt,Local Used,2014, White,108234
10687500,Land Rover Range Rover Sport  Green,Abuja (FCT),Central Business District,Foreign Used,2012, Green,156242
64125000,Lexus RX  2021 Black,Lagos State,Lekki,Foreign Used,350, Black,39248
2887500,Toyota Corolla  Silver,Lagos State,Amuwo-Odofin,Local Used,2005, Silver,280866
18000000,Land Rover Range Rover  Burgandy,Lagos State,Magodo,Local Used,2011, Burgandy,26293
1680000,Renault Kangoo  Blue,Lagos State,Ikotun/Igando,Local Used,2001, Blue,100000
4320000,Ford Escape  Gray,Lagos State,Ojodu,Local Used,2009, Gray,328891
7312500,Toyota Camry  Silver,Oyo State,Ibadan,Local Used,2009, Silver,169987
33750000,Land Rover Range Rover Evoque  White,Lagos State,Kosofe,Local Used,2018, White,126854
3661875,Lexus RX  2001 Gray,Abuja (FCT),Kubwa,Local Used,300, Gray,211688
2362500,Toyota Corolla  Black,Lagos State,Alimosho,Local Used,2009, Black,213974
6187500,Toyota Yaris .5 Liftback 2008 Gray,Abuja (FCT),Lugbe District,Local Used,1, Gray,296703
22500000,Mercedes-Benz M Class  Gray,Lagos State,Yaba,Local Used,2012, Gray,247749
11700000,Toyota Corolla  Red,Abuja (FCT),Gudu,Local Used,2016, Red,103213
4500000,Toyota Avensis  Red,Lagos State,Lekki,Local Used,2004, Red,338724
14625000,Land Rover Range Rover Evoque  White,Rivers State,Port-Harcourt,Local Used,2014, White,108234
10687500,Land Rover Range Rover Sport  Green,Abuja (FCT),Central Business District,Foreign Used,2012, Green,156242
64125000,Lexus RX  2021 Black,Lagos State,Lekki,Foreign Used,350, Black,39248
2887500,Toyota Corolla  Silver,Lagos State,Amuwo-Odofin,Local Used,2005, Silver,280866
18000000,Land Rover Range Rover  Burgandy,Lagos State,Magodo,Local Used,2011, Burgandy,26293
1680000,Renault Kangoo  Blue,Lagos State,Ikotun/Igando,Local Used,2001, Blue,100000
4320000,Ford Escape  Gray,Lagos State,Ojodu,Local Used,2009, Gray,328891
7312500,Toyota Camry  Silver,Oyo State,Ibadan,Local Used,2009, Silver,169987
33750000,Land Rover Range Rover Evoque  White,Lagos State,Kosofe,Local Used,2018, White,126854
3661875,Lexus RX  2001 Gray,Abuja (FCT),Kubwa,Local Used,300, Gray,211688
2362500,Toyota Corolla  Black,Lagos State,Alimosho,Local Used,2009, Black,213974
6187500,Toyota Yaris .5 Liftback 2008 Gray,Abuja (FCT),Lugbe District,Local Used,1, Gray,296703
22500000,Mercedes-Benz M Class  Gray,Lagos State,Yaba,Local Used,2012, Gray,247749
11700000,Toyota Corolla  Red,Abuja (FCT),Gudu,Local Used,2016, Red,103213
4500000,Toyota Avensis  Red,Lagos State,Lekki,Local Used,2004, Red,338724
14625000,Land Rover Range Rover Evoque  White,Rivers State,Port-Harcourt,Local Used,2014, White,108234
10687500,Land Rover Range Rover Sport  Green,Abuja (FCT),Central Business District,Foreign Used,2012, Green,156242
64125000,Lexus RX  2021 Black,Lagos State,Lekki,Foreign Used,350, Black,39248
2887500,Toyota Corolla  Silver,Lagos State,Amuwo-Odofin,Local Used,2005, Silver,280866
18000000,Land Rover Range Rover  Burgandy,Lagos State,Magodo,Local Used,2011, Burgandy,26293
1680000,Renault Kangoo  Blue,Lagos State,Ikotun/Igando,Local Used,2001, Blue,100000
4320000,Ford Escape  Gray,Lagos State,Ojodu,Local Used,2009, Gray,328891
7312500,Toyota Camry  Silver,Oyo State,Ibadan,Local Used,2009, Silver,169987
33750000,Land Rover Range Rover Evoque  White,Lagos State,Kosofe,Local Used,2018, White,126854
7163437,Toyota Corolla  Black,Rivers State,Port-Harcourt,Local Used,2009, Black,164463
4500000,Lexus RX  Silver,Ogun State,Abeokuta North,Local Used,1998, Silver,436873
3780000,Nissan Pathfinder LE x4 2006 Gray,Abuja (FCT),Lugbe District,Local Used,4, Gray,206217
6187500,Hyundai Accent  Gold,Abuja (FCT),Garki 2,Local Used,2012, Gold,203750
